,League,Year,Code,Team,Salary
485,mls,2019,LAFC,Los Angeles FC,13338959.0
486,mls,2019,MIN,Minnesota United FC,8222686.0
487,mls,2019,MTL,Montreal Impact,11470278.0
488,mls,2019,NSH,Nashville SC,172296.0
489,mls,2019,NE,New England Revolution,8182996.0
490,mls,2019,NYC,New York City FC,9542039.0
491,mls,2019,NY,New York Red Bulls,7486025.0
492,mls,2019,ORL,Orlando City,10684789.0
493,mls,2019,PHI,Philadelphia Union,8459186.0
494,mls,2019,POR,Portland Timbers,11105358.0
495,mls,2019,RSL,Real Salt Lake,9940119.0
496,mls,2019,SJ,San Jose Earthquakes,8121656.0
497,mls,2019,SEA,Seattle Sounders FC,12054716.0
498,mls,2019,SKC,Sporting Kansas City,12080510.0
499,mls,2019,TOR,Toronto FC,21244519.0
500,mls,2019,VAN,Vancouver Whitecaps FC,5807495.0
501,mls,2020,ATL,Atlanta United FC,13184580.0
502,mls,2020,CHI,Chicago Fire,11472125.0
503,mls,2020,COL,Colorado Rapids,6120394.0
504,mls,2020,CLB,Columbus Crew,12384982.0
505,mls,2020,DC,D.C. United,8068092.0
506,mls,2020,CIN,FC Cincinnati,12016445.0
507,mls,2020,DAL,FC Dallas,10090541.0
508,mls,2020,HOU,Houston Dynamo,8870968.0
509,mls,2020,MIA,Inter Miami FC,13086521.0
510,mls,2020,LA,LA Galaxy,16811192.0
511,mls,2020,LAFC,Los Angeles FC,12899502.0
512,mls,2020,MIN,Minnesota United FC,9002470.0
513,mls,2020,MTL,Montreal Impact,10641859.0
514,mls,2020,NSH,Nashville SC,8063650.0
515,mls,2020,NE,New England Revolution,11447878.0
516,mls,2020,NYC,New York City FC,12187832.0
517,mls,2020,NY,New York Red Bulls,7050054.0
518,mls,2020,ORL,Orlando City,10003461.0
519,mls,2020,PHI,Philadelphia Union,8516499.0
520,mls,2020,POR,Portland Timbers,11443295.0
521,mls,2020,RSL,Real Salt Lake,9254828.0
522,mls,2020,SJ,San Jose Earthquakes,9874989.0
523,mls,2020,SEA,Seattle Sounders FC,12412500.0
524,mls,2020,SKC,Sporting Kansas City,12807584.0
525,mls,2020,TOR,Toronto FC,18528776.0
526,mls,2020,VAN,Vancouver Whitecaps FC,7639268.0
527,mls,2021,ATL,Atlanta United FC,18826032.0
528,mls,2021,ATX,Austin FC,11751103.0
529,mls,2021,MTL,CF Montreal,11186772.0
530,mls,2021,CHI,Chicago Fire,13002668.0
531,mls,2021,COL,Colorado Rapids,8820038.0
532,mls,2021,CLB,Columbus Crew,12557305.0
533,mls,2021,DC,D.C. United,10574323.0
534,mls,2021,CIN,FC Cincinnati,14082405.0
535,mls,2021,DAL,FC Dallas,10506289.0
536,mls,2021,HOU,Houston Dynamo,10573227.0
537,mls,2021,MIA,Inter Miami FC,16525292.0
538,mls,2021,LA,LA Galaxy,17839427.0
539,mls,2021,LAFC,Los Angeles FC,14189716.0
540,mls,2021,MIN,Minnesota United FC,11527572.0
541,mls,2021,NSH,Nashville SC,10315124.0
542,mls,2021,NE,New England Revolution,10507615.0
543,mls,2021,NYC,New York City FC,13760924.0
